ZAO9700_SITACC_ALM_fb,BOOL
ZAO9705_HUTACC_ALM_fb,BOOL
XA8000_SMOALM_ALM_fb,BOOL
EAL5501_MAINS_ALM_fb,BOOL
EAL5502_BATCH_ALM_fb,BOOL
MLV6401_CLOSE_DERV_fb,BOOL
MLV6401_CLOSE_REM_fb,BOOL
MLV6401_OPEN_DERV_fb,BOOL
MLV6401_OPEN_REM_fb,BOOL
MLV6401_OP_DERV_fb,BOOL
PDAH6406_DP_DERV_fb,BOOL
UA6401_FAULT_DERV_fb,BOOL
UA6401B_TIMEOUT_DERV_fb,BOOL
KEYPAD_STATE_fb,BOOL
HS0001D_MAINT_REM_fb,BOOL
XY5505_INTRUP_REM_fb,BOOL
XY5508_INTRUP_REM_fb,BOOL
XY5511_INTRUP_REM_fb,BOOL
MLV6414_CLOSE_DERV_fb,BOOL
MLV6414_CLOSE_REM_fb,BOOL
MLV6414_OPEN_DERV_fb,BOOL
MLV6414_OPEN_REM_fb,BOOL
MLV6414_OP_DERV_fb,BOOL
PDAH6408_DP_DERV_fb,BOOL
UA6414_FAULT_DERV_fb,BOOL
UA6414B_TIMEOUT_DERV_fb,BOOL
YEAR_fb,SINT
DAY_fb,SINT
HOUR_fb,SINT
MINUTE_fb,SINT
MONTH_fb,SINT
SECOND_fb,SINT
SEC_TODAY_fb,REAL
EI5503_USPOT_PV_fb,REAL
EI5503_USPOT_ADJ_fb,REAL
EI5503_USPOT_REM_fb,REAL
EI5503_USPOT_STOR_fb,REAL
EY5503_USPOT_MAX_fb,REAL
EQ5503A_USPOT_ACC_fb,REAL
EQ5503A_USPOT_REM_fb,REAL
EQ5503_USPOT_AVE_fb,REAL
XC5505A_INTRUP_REM_fb,DINT
XC5505B_INTRUP_REM_fb,DINT
XC5508A_INTRUP_REM_fb,DINT
XC5508B_INTRUP_REM_fb,DINT
XC5511A_INTRUP_REM_fb,DINT
XC5511B_INTRUP_REM_fb,DINT
II5504_USCUR_PV_fb,REAL
II5504_USCUR_ADJ_fb,REAL
II5504_USCUR_REM_fb,REAL
II5504_USCUR_STOR_fb,REAL
IY5504_USCUR_MAX_fb,REAL
IQ5504A_USCUR_ACC_fb,REAL
IQ5504A_USCUR_REM_fb,REAL
IQ5504_USCUR_AVE_fb,REAL
EI5506_DSPOT_PV_fb,REAL
EI5506_DSPOT_ADJ_fb,REAL
EI5506_DSPOT_REM_fb,REAL
EI5506_DSPOT_STOR_fb,REAL
EY5506_DSPOT_MAX_fb,REAL
EQ5506A_DSPOT_ACC_fb,REAL
EQ5506A_DSPOT_REM_fb,REAL
EQ5506_DSPOT_AVE_fb,REAL
II5507_DSCUR_PV_fb,REAL
II5507_DSCUR_ADJ_fb,REAL
II5507_DSCUR_REM_fb,REAL
II5507_DSCUR_STOR_fb,REAL
IY5507_DSCUR_MAX_fb,REAL
IQ5507A_DSCUR_ACC_fb,REAL
IQ5507A_DSCUR_REM_fb,REAL
IQ5507_DSCUR_AVE_fb,REAL
EI5509_DSPOT_PV_fb,REAL
EI5509_DSPOT_ADJ_fb,REAL
EI5509_DSPOT_REM_fb,REAL
EI5509_DSPOT_STOR_fb,REAL
EY5509_DSPOT_MAX_fb,REAL
EQ5509A_DSPOT_ACC_fb,REAL
EQ5509A_DSPOT_REM_fb,REAL
EQ5509_DSPOT_AVE_fb,REAL
II5510_DSCUR_PV_fb,REAL
II5510_DSCUR_ADJ_fb,REAL
II5510_DSCUR_REM_fb,REAL
II5510_DSCUR_STOR_fb,REAL
IY5510_DSCUR_MAX_fb,REAL
IQ5510A_DSCUR_ACC_fb,REAL
IQ5510A_DSCUR_REM_fb,REAL
IQ5510_DSCUR_AVE_fb,REAL
